pickup_zone,count,mean_abs_error,median_abs_error,mean_error,rmse,p95_abs_error
40.59_-73.93,4,0.7230474232985262,0.7281811902169499,-0.00513376691842371,0.7805525531710534,1.0679624616769048
40.7_-73.82,38,0.7222452770471194,0.4824136869289142,-0.09588714490644999,0.9879651585695884,1.8870870184627435
40.8_-73.98,34,0.7210297902245721,0.5447598030698237,-0.20563193512184946,0.9405780210997982,2.05631338272663
40.64_-74.02,14,0.7192142984232819,0.4173686350218849,0.025816224194291353,0.9684328576451008,1.9359670383018983
40.72_-73.97,41,0.7156676709775165,0.6169587975401198,-0.0733344597026705,0.8290044535992144,1.4750806872416153
40.73_-73.92,28,0.7118061205597473,0.47207171828644245,-0.04784677717947019,1.0163619771300458,1.467200748096767
40.64_-73.96,30,0.7110348659701475,0.641728145301675,-0.2703758671018729,0.8250177932485931,1.575712015872983
40.64_-74.03,5,0.7093289712259695,0.6005766925119131,0.033395789548108824,0.7331249717436485,0.9693735806669183
40.75_-73.87,38,0.7091600787824843,0.5313024656293633,-0.04872043433767396,0.9103166919252991,1.7711873799191273
40.83_-73.92,59,0.7081470249250481,0.5953879438951282,-0.15655786397540758,0.8471891801628694,1.6692775116901253
40.76_-73.86,34,0.7079438670716727,0.47801302891994923,-0.30469952230736097,0.9410984768708323,2.3195451590295084
40.71_-73.8,15,0.7018721347894695,0.46344285537119845,-0.14003283164075891,0.8431039303631821,1.5468876560759164
40.62_-74.03,21,0.6808449781970056,0.556996582660302,-0.08796336748623393,0.8706298995867799,1.3585547218241856
40.76_-73.87,42,0.6798855300111587,0.5670072006069654,-0.22831528937953335,0.8524167953858441,1.532408798177599
40.63_-73.94,6,0.6771926827821718,0.5017278536027546,-0.4529956217073055,0.8220547147415553,1.4170490409005865
40.71_-73.78,1,0.6723579614718804,0.6723579614718804,-0.6723579614718804,0.6723579614718804,0.6723579614718804
40.74_-73.94,43,0.6651767834887607,0.5606815792734248,-0.08356650095374774,0.8207866501660038,1.6237029471854707
40.86_-73.92,14,0.6648242910954411,0.46800923019172413,-0.1783521758944091,0.9146364421961574,1.7963733822115027
40.71_-73.91,10,0.6641247034888801,0.5974923223434337,-0.41874003746545296,0.7438821212180006,1.2431974395083765
40.83_-73.93,34,0.6628469605063009,0.5227627081511214,0.009982491513004395,0.7948436767678848,1.516394095517394
40.74_-73.87,28,0.6616928133611829,0.549980055704913,-0.23944251281410292,0.828783831680311,1.5666725976245979
40.67_-73.94,48,0.6534081308807492,0.5643918846899809,-0.21997807209764916,0.7783555253476598,1.525525506042156
40.64_-73.99,7,0.6513285085677897,0.4765872212403772,-0.6513285085677897,0.7824187482533447,1.3978085034507515
40.68_-73.92,20,0.6472067052918054,0.4823324801019504,-0.3599030617355981,0.8284332835040807,2.046896986417986
40.81_-73.9,4,0.6458528953262954,0.44262677512520354,-0.6458528953262954,0.75644738737308,1.1989441090952446
40.78_-74.0,4,0.6455320744056741,0.6804153545679884,-0.6455320744056741,0.6718534070202412,0.8318666185668443
40.72_-73.8,6,0.6357978080431792,0.613496928362216,-0.4613268817899716,0.6792280315001612,0.9453443849426741
40.84_-73.84,5,0.6327028730248173,0.5283267400308176,-0.6327028730248173,0.7235117171890448,1.164946366957533
40.79_-73.93,39,0.6297107944459301,0.49118531205895843,-0.2330287414525652,0.8611557209357686,1.5718566170467156
40.87_-73.9,12,0.6258945358708775,0.49535724848359586,-0.38032987179430044,0.7274215345619832,1.3908698079633157
40.64_-73.95,21,0.6249055762790602,0.4765872212403772,-0.21630097283801086,0.7688796805273415,1.5234127787596228
40.64_-73.98,28,0.6243268091662413,0.5111435309820879,-0.1895884502786465,0.736667785009414,1.5656701394714068
40.85_-73.9,9,0.6148018977281405,0.5208905047528896,-0.2058137661478853,0.7185126921762748,1.2246459943640198
40.74_-73.84,16,0.6133552503555267,0.5046526302663651,-0.04295110420465831,0.7264398011750363,1.5074538896344711
40.77_-74.01,1,0.6121041370934872,0.6121041370934872,-0.6121041370934872,0.6121041370934872,0.6121041370934872
40.66_-73.8,37,0.6118012869897078,0.5173688940442631,-0.24982125890484463,0.6917805730244686,1.3425301867557013
40.62_-73.94,7,0.6103249354238629,0.3279411467772484,-0.6103249354238629,0.7559218223362102,1.3545187505503893
40.86_-73.93,49,0.607716441829787,0.5341485404743522,-0.1887101895984634,0.693331981142998,1.2847417476742065
40.63_-74.02,22,0.598312723986534,0.46868969339777544,-0.05695074716229938,0.7480197565742334,1.4752465476138816
40.65_-73.93,6,0.5877727664016253,0.6343878858932596,-0.36051863907512843,0.6202646993397165,0.8065310358299331
40.67_-73.93,36,0.5827191911875234,0.5019282994065946,-0.26777785730006026,0.7012889153015149,1.0035317622251239
40.72_-73.82,18,0.5824892276286119,0.3360201924984466,-0.11056663324579925,0.7590684231848503,1.291135546951906
40.62_-73.93,1,0.5807507761443489,0.5807507761443489,-0.5807507761443489,0.5807507761443489,0.5807507761443489
40.72_-74.04,8,0.580310066341159,0.464578900129341,-0.16256287845370704,0.7462149823892488,1.3861598642400002
40.63_-74.03,18,0.5797191537532529,0.4446530130965478,-0.02294288957750961,0.7467941870180632,1.4449725078457125
40.68_-73.87,13,0.575500737791709,0.49554045441976635,-0.47131497684247026,0.6105927347908797,0.9098468707019114
40.88_-73.9,12,0.5754296476244222,0.5043591251038559,-0.3976744580017117,0.6280340313114035,1.0068446763912926
40.74_-73.85,34,0.5752873912185128,0.42395895570535624,-0.28721177800702813,0.7712363528981353,1.7141245392600664
40.83_-73.89,9,0.5724168439856535,0.5193645920867644,-0.5724168439856535,0.6434925791020645,1.0931656563622085
40.81_-73.92,39,0.5691912950326746,0.4906833261973955,-0.14915670814721396,0.6144400494498146,0.8469083667153278
40.83_-73.91,17,0.5691648721035387,0.4939494216886118,-0.28579652454828686,0.6625262992532132,1.0931199424520035
40.8_-73.91,5,0.5689246346164121,0.5208905047528896,-0.5689246346164121,0.5793050112129894,0.7316992962767482
40.76_-73.83,49,0.5686365009792703,0.520420539722259,-0.34413901170924976,0.6121718755624377,0.9041858876197648
